Variable:,tasmin
Country:,Belgium
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1960,-0.74,-0.08,2.36,3.74,7.68,10.87,10.86,11.65,8.78,7.06,4.58,0.44
1961,-0.85,2.46,2.42,6.53,6.27,10.18,10.68,11.57,12.19,7.50,2.02,-1.12
1962,0.66,-0.86,-1.61,3.65,5.65,8.88,10.65,11.15,8.44,5.87,1.37,-3.61
1963,-7.68,-6.69,0.57,4.17,6.31,10.59,11.69,11.06,9.68,5.43,5.15,-3.83
1964,-2.67,0.59,-0.21,4.18,8.50,10.41,12.12,11.51,9.49,4.07,3.55,-0.54
1965,0.15,-1.83,0.77,3.14,7.28,10.24,10.86,10.77,8.37,5.01,0.26,1.77
1966,-2.94,2.73,1.29,4.63,7.54,11.76,11.09,11.00,9.44,8.24,1.14,1.19
1967,0.13,1.29,2.82,2.44,7.23,9.75,13.04,11.76,9.82,8.11,1.52,-0.29
1968,-1.22,-0.77,1.89,3.70,6.29,10.34,11.44,12.49,10.17,8.36,2.19,-2.22
1969,1.48,-2.84,0.03,3.05,7.88,9.97,13.33,12.55,10.16,7.41,3.16,-3.29
1970,-1.02,-1.57,-0.40,2.37,7.76,12.00,11.34,12.13,9.96,7.05,4.48,-0.47
1971,-1.05,0.40,-0.95,3.66,8.83,9.72,12.58,12.65,8.43,5.71,1.88,2.14
1972,-1.41,0.72,1.83,3.89,7.21,9.14,12.92,11.29,7.42,4.33,2.93,0.45
1973,-0.22,-0.39,0.80,2.05,7.60,11.17,12.53,12.87,10.32,5.06,1.96,-0.10
1974,2.59,1.44,2.59,4.11,6.54,9.93,11.21,11.97,8.88,3.88,3.42,4.20
1975,3.34,-0.46,1.57,3.48,6.46,10.02,13.06,14.22,11.03,5.10,2.04,-0.00
1976,1.21,-0.28,-0.54,2.60,7.81,12.50,14.24,12.30,9.64,7.67,3.79,-1.58
1977,0.31,1.89,3.34,2.16,7.10,10.29,12.37,11.86,8.80,7.67,3.67,1.98
1978,0.13,-1.76,2.78,2.65,7.69,10.11,11.10,10.76,9.21,6.76,2.49,-0.23
1979,-4.99,-2.65,1.60,3.35,6.65,10.93,11.73,11.03,9.22,7.01,2.43,3.01
1980,-2.28,1.43,1.75,3.12,6.64,10.14,11.46,12.67,10.69,5.36,1.59,0.01
1981,-0.72,-2.00,4.96,4.18,8.05,10.44,12.31,12.29,10.28,5.69,3.39,-1.85
1982,-2.06,-0.64,1.39,2.80,7.40,11.92,13.89,12.49,11.10,7.50,4.90,0.98
1983,2.68,-2.52,2.01,4.04,6.75,11.52,14.92,13.39,9.95,6.53,2.33,0.70
1984,0.50,-0.81,0.02,2.85,6.35,9.46,11.56,12.76,9.97,7.72,5.10,1.21
1985,-6.13,-4.11,0.51,4.10,8.45,9.48,12.61,11.23,10.03,6.16,-0.36,2.81
1986,-0.36,-7.05,0.37,2.11,8.30,11.51,12.43,11.27,7.12,7.44,4.13,1.63
1987,-5.61,-1.10,-1.36,5.30,5.60,9.87,12.53,11.98,11.17,6.93,3.74,1.33
1988,3.01,0.79,1.97,3.78,9.37,10.75,11.76,12.09,10.03,7.46,2.02,4.16
1989,1.10,1.27,4.16,3.25,8.90,10.48,13.27,12.42,10.85,8.20,1.50,1.57
1990,1.96,3.40,3.95,3.30,8.51,10.58,11.90,13.60,8.63,7.90,3.35,0.79
1991,0.25,-4.12,4.44,3.18,5.40,9.08,14.06,13.15,10.82,6.20,2.46,0.03
1992,-0.22,0.98,3.06,4.06,9.54,11.89,13.63,13.61,9.79,4.24,4.46,1.06
1993,1.72,-1.05,1.38,6.20,9.33,11.51,11.94,10.90,9.35,5.90,-0.40,2.37
1994,1.97,-1.00,4.02,3.88,8.11,11.04,15.94,13.24,9.77,5.41,7.22,2.67
1995,0.52,3.33,1.18,4.69,7.71,10.34,15.11,14.49,9.66,9.21,3.25,-1.99
1996,-1.68,-2.23,-0.40,3.85,6.44,10.84,11.68,12.58,8.26,6.86,3.05,-1.94
1997,-3.88,2.45,4.19,2.92,7.83,11.36,12.73,15.35,9.50,5.66,3.69,2.22
1998,1.39,1.38,3.55,4.87,9.80,11.59,12.19,11.95,11.04,6.78,0.61,1.58
1999,2.14,-0.05,3.55,5.23,9.44,10.57,14.30,13.04,12.95,6.66,2.88,1.74
2000,1.03,2.10,3.19,5.30,9.84,11.52,11.29,13.00,11.56,7.88,4.82,3.06
2001,0.32,1.27,2.82,3.81,9.37,10.28,13.75,13.93,9.10,10.25,3.01,-0.33
2002,0.80,3.56,3.11,4.34,8.59,12.09,13.04,13.99,9.90,6.32,5.37,1.39
2003,-0.79,-2.15,3.13,4.44,8.77,13.04,14.11,14.33,9.39,3.80,4.77,1.25
2004,0.43,1.32,1.89,5.43,7.32,11.07,12.40,14.19,10.98,7.63,3.48,0.00
2005,1.65,-1.06,2.47,5.47,7.86,12.07,13.53,11.69,11.51,9.41,3.25,0.85
2006,-1.79,-0.53,0.31,4.25,9.14,11.67,15.42,12.00,13.16,9.96,5.36,2.92
2007,4.09,2.90,3.35,6.19,9.45,12.79,12.64,12.48,9.20,6.16,3.27,0.83
